Partlist

Exported from melzi.sch at 26/07/2012 16:26

EAGLE Version 6.2.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                       Device                      Package               Library            Sheet

B1       RESET                       TAC_SWITCHSMD               TACTILE_SWITCH_SMD    SparkFun           1
C1       0.1uF                       CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C2       0.22uF                      CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C3       0.1uF                       CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C4       0.1uF                       CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C5       4.7 uF                      CPOL-EUSMCC                 SMC_C                 rcl                1
C6       4.7 uF                      CPOL-EUSMCC                 SMC_C                 rcl                1
C7       4.7 uF                      CPOL-EUSMCC                 SMC_C                 rcl                1
C8       4.7 uF                      CPOL-EUSMCC                 SMC_C                 rcl                1
C9       4.7 uF                      CPOL-EUSMCC                 SMC_C                 rcl                1
C10      10uF                        CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C11      0.1uF                       CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C12      100uF                       CPOL-USD                    PANASONIC_D           rcl                1
C13      0.1uF                       CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C14      0.22uF                      CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C15      10uF                        CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C16      0.1uF                       CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C17      100uF                       CPOL-USD                    PANASONIC_D           rcl                1
C18      0.1uF                       CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C19      0.22uF                      CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C20      10uF                        CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C21      0.1uF                       CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
C22      100uF                       CPOL-USD                    PANASONIC_D           rcl                1
C23      0.1uF                       CAPACITOR_0805              CAPC2012X145AN        ipc-7351-capacitor 1
